hero,connection
ABCISSA,"ELSIE DEE,FURY, COL. NICHOLAS ,GAMBIT/REMY LEBEAU ,MYSTIQUE/RAVEN DARKH,SPIRAL,THING/BENJAMIN J. GR,WOLVERINE/LOGAN ,ALBERT,BEAST/HENRY &HANK& P,JUBILEE/JUBILATION L,HUNTER IN DARKNESS,GATEWAY,MR. FANTASTIC/REED R,MOJO"
ABSORBING MAN | MUTA,"DRAX | MUTANT X-VERS,DR. STRANGE | MUTANT,POLARIS | MUTANT X-V,HULK | MUTANT X-VERS,MAN-SPIDER | MUTANT ,NAMORITA | MUTANT X-,DEVIL DINOSAUR | MUT,IRON FIST | MUTANT X,BROTHER VOODOO | MUT,RAVEN | MUTANT X-VER,SUMMERS, SCOTT III |,ICE-MAN | MUTANT X-V,DAREDEVIL | MUTANT X,VOLSTAGG | MUTANT X-,FIN FANG FOOM | MUTA,WOLVERINE | MUTANT X,DRACULA | MUTANT X-V,THOR | MUTANT X-VERS,SUB-MARINER | MUTANT,HOGUN | MUTANT X-VER,VALKYRIE II | MUTANT,MOON KNIGHT | MUTANT"
ABSORBING MAN/CARL C,"SOMMERS, APRIL,HEIMDALL [ASGARDIAN],SABRETOOTH/VICTOR CR,SLADE,CAPTAIN MARVEL II/MO,EON,QUILL,MAXIMOFF, DJANGO,VIZIER,KANGAROO II/,BLACK KNIGHT V/DANE ,FREEMAN, DEREK,KINGSLEY, DANIEL,WOLVERINE/LOGAN ,THING/BENJAMIN J. GR,KINCAID, DR. KEITH,JONES, RICHARD MILHO,SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M,LIZARD/DR. CURTIS CO,ULTRON,WIZARD/BENTLEY WITTM,RHINO,X-MAN/NATHAN GREY ,THENA,CITIZEN V II/HELMUT ,MISTER HYDE/CALVIN Z,THOMPSON, EUGENE FLA,IRON MAN IV/JAMES R.,LYJA LAZERFIST [SKRU,DAZZLER II/ALLISON B,MEDUSA/MEDUSALITH AM,MARVEL GIRL II/VALER,STONE, LT. MARCUS,DR. OCTOPUS II/CAROL,ROBERTSON, JOE,APOCALYPSE/EN SABAH ,BALDER [ASGARDIAN],RASSITANO, MAD DOG,STILT-MAN/WILBUR DAY,HAMMERHEAD,WRECKER III/DIRK GAR,CROSSBONES/BROCK BIN,NIGHTCRAWLER/KURT WA,ROGUE /,GREEN GOBLIN/NORMAN ,DR. DOOM/VICTOR VON ,FIXER II/PAUL NORBER,DREADKNIGHT/BRAM VEL,ARYAN,ENCHANTRESS/AMORA/HE,SIF,LORELEI II/MELODI [A,MAGNETO/MAGNUS/ERIC ,HOGUN [ASGARDIAN],LOKI [ASGARDIAN],DUGAN, TIMOTHY ALOYI,CYCLOPS/SCOTT SUMMER,WEIN, LEN,WASP/JANET VAN DYNE ,FOREIGNER/RAFAEL BAS,THUNDERSTRIKE/ERIC K,REDWING,CUSHING, KATE,DR. OCTOPUS/OTTO OCT,BYRRAH [ATLANTEAN],HILDEGARDE [ASGARDIA,BLACKOUT/MARCUS DANI,BLAIRE, CARTER,KAMO THARNN,BULLDOZER/HENRY CAMP,STORM/ORORO MUNROE S,RUIZ, RIGGER,PAGE, KAREN,AXE/,BLACK MAMBA/TANYA SE,THOR/DR. DONALD BLAK,JONES, MARLO CHANDLE,HOBBS, HARRIS,KLAW/ULYSSES KLAW,WATSON-PARKER, MARY ,SILVERMANE/SILVIO MA,OZYMANDIAS,COLOSSUS II/PETER RA,VOLSTAGG,BATTLE, MONTGOMERY,LOCKHEED,LANN,BEAST/HENRY &HANK& P,HAWK,BINARY/CAROL DANVERS,FANDRAL [ASGARDIAN],SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V,IGOR,PHARAOH RAMA-TUT,UROC,TALBOT, GLENN,TYR,FAIRMONT, HANNAH,SKOLL,JARVIS, EDWIN ,RED GHOST/IVAN KRAGO,STRYKER, WILLIS,HERCULES [GREEK GOD],ENGLEHART, STEVE,O'BRIEN, MICHAEL,VOLCANA/MARSHA ROSEN,FLYING TIGER,FIELSTEIN, FIREWORKS,TANAKA, KENJIRO,MONGOOSE,FURY, COL. NICHOLAS ,GYRICH, HENRY PETER,HOBGOBLIN II/RODERIC,DR. DRUID/ANTHONY LU,SPIDER-MAN/PETER PAR,ANGAR THE SCREAMER/D,BATROC/GEORGES BATRO,VISION ,EITRI,MOLECULE MAN/OWEN RE,ANT-MAN/DR. HENRY J.,MOONSTONE II/KARLA S,ROSS, GEN. THADDEUS ,ANGEL/WARREN KENNETH,KINCAID, DR. JANE FO,ABOMINATION/EMIL BLO,HILDY [ASGARDIAN],JUGGERNAUT/CAIN MARK,HUMAN TORCH/JOHNNY S,KARNILLA [ASGARDIAN],LEEDS, BETTY BRANT,PROFESSOR X/CHARLES ,STINGRAY/DR. WALTER ,TITANIA II/MARY SKEE,TIGER SHARK/TODD ARL,BALLANTINE, KAYLA,BLACK WIDOW/NATASHA ,MO MONEY,YELLOWJACKET II/RITA,ODIN [ASGARDIAN],FRIGGA,IRON MAN/TONY STARK ,AUSTIN, SUSAN,THUNDERBALL/DR. ELIO,MENTALLO,SUZIE,MARRERO, ED,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,TYRANNUS,FIXER/SWEENEY,BEYONDER,CAPTAIN AMERICA,MIKHLO,OCCULT,GALACTUS/GALAN,ELECTRO/MAX DILLON,SUB-MARINER/NAMOR MA,FALCON/SAM WILSON,BANNON, LANCE,SCREAMING MIMI/MELIS,BERENGHETTI, MICHAEL,MURDOCK, BATTLING JA,ROBERTSON, MARTHA,NELSON, FRANKLIN FOG,WEIN, GLYNIS,DAREDEVIL/MATT MURDO,BEEFER,PILEDRIVER II/BRIAN ,SPIDER-WOMAN II/JULI,LOCKJAW [INHUMAN],BANNER, BETTY ROSS T,HYDROMAN/MORRIE BENC,HOWARD, PROFESSOR MA"
"ADAMSON, REBECCA","KABALLA,GOLEM III,LOGAN, WAYNE"
ADVENT/KYLE GROBE,"JUSTICE II/VANCE AST,TURBO II (B)/MIKE JE,TURBO II (A)/MICHIKO,FIRESTAR/ANGELICA JO,TIMESLIP/RINA PATEL,DUNHAM, LAURA,GEE/ALEX POWER,SPIDER-MAN CLONE/BEN,HINDSIGHT LAD/CARLTO,NOVA/RICHARD RIDER,SPEEDBALL II/DARRION,MEXXA RIEN,HELIX/RAFAEL CARAGO,SPEEDBALL/ROBBIE BAL,SPHINX,NIELS"
AGAMEMNON III/,"ASTER, LUCIAN,HOGUN [ASGARDIAN],SHANZAR,RABIN, GRETTA,ATALANTA,WALKER, JILL,LEADER/SAM STERNS,JONES, RICHARD MILHO,THOR II/ROGER RED NO,AJAX,HOARFEN,JASON,VECTOR,DELPHI,HULK/DR. ROBERT BRUC,THUNDERBOLT II/LUIS,MR. FANTASTIC/REED R,DOC SAMSON/DR. LEONA,ULYSSES II,IRONCLAD,PARIS,WONG,JONES, MARLO CHANDLE,SUB-MARINER/NAMOR MA,OGRESS/,DR. STRANGE/STEPHEN ,ROSS, GEN. THADDEUS ,GUNTLY, DAVID,HAMMER, JUSTIN,DRACCHISS,SHORR, JACQUELINE,VOLSTAGG,CASSIOPEIA,HECTOR II,SIINGARD,SABRA/RUTH BAT-SERAP,ACHILLES II/HELMUT,JAILBAIT/JESS,HELA [ASGARDIAN],ROCK/SAMUEL JOHN ROC,PROMETHEUS II,MEER, MAX,FANDRAL [ASGARDIAN],BANNER, BETTY ROSS T,SILVER SURFER/NORRIN"
AGAMOTTO,"MUNIPOOR,DORMAMMU,SPIDER-MAN/PETER PAR,WONG,RINTRAH,DR. STRANGE/STEPHEN ,CLEA,BARON BLOOD II/VICTO,ANCIENT ONE,CHANG, IMEI,GHOST RIDER III/DAN ,TOPAZ,WARLOCK II/ADAM WARL,LAVEAU, MARIE,HOGGOTH,DR. DOOM/VICTOR VON ,VALTORR,GRIEFSAVOR,BINARY/CAROL DANVERS,HULK/DR. ROBERT BRUC,SILVER SURFER/NORRIN,SILVER DAGGER/ISAIAH,WOLFE, SARA,UMAR,SATANNISH"
AGGAMON,DR. STRANGE/STEPHEN
AGINAR,"SIF,REJECT/RAN-SAK [DEVI,HARVEST/CHI LO,IKARIS/IKE HARRIS [E,MERCURY,KARKAS [DEVIANT],ARISHEM [CELESTIAL],MAKKARI/MIKE KHARY/I,SERSI/SYLVIA,ZURAS,ODIN [ASGARDIAN],DOMO,FORGOTTEN ONE/GILGAM,HERCULES [GREEK GOD],VALKIN,AJAK/TECUMOTZIN [ETE,ZEUS,NEZARR,KINGO SUNEN [ETERNAL,THENA,BRIGHTSWORD/CARTER D,ONE ABOVE ALL [CELES,ATHENA [GREEK GOD],DAMIAN, DR. DANIEL,HOLDEN, DR. SAMUEL,THOR/DR. DONALD BLAK,HERMES [GREEK GOD],DAMIAN, MARGO,GENII/JASON KIMBALL,VOLSTAGG,SPRITE,DRUIG,FANDRAL [ASGARDIAN],ARES [GREEK GOD]"
AGON,"MARISTA,BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,RYNDA,MAXIMUS [INHUMAN],TRITON,KARNAK [INHUMAN]"
