hero,connection
8-BALL/,"SLEEPWALKER,SHERIDAN, RICHARD RI,CONOVER, ALYSSA,RAMBO,MCMURRAY, YVONNE,BAYLOR, FRANK"
A'YIN,"COLOSSUS II/PETER RA,WOLFSBANE/RAHNE SINC,NIGHTCRAWLER/KURT WA,BARAK,SHADOWCAT/KATHERINE ,CAPTAIN BRITAIN/BRIA,RA'AL,XIANDU,SPIRAL,MEGGAN,WISDOM, PETER"
"ADAMS, MARTHA","STARSHINE II/BRANDY ,ADAMS, GEORGE,ADAMS, CINDY,BEYONDER,JONES, RICHARD MILHO"
ADVA,"FAIRMONT, AMANDA MAN,SIF,SPIDER-MAN/PETER PAR,O'NEILL, DET. BRADY,THOR/DR. DONALD BLAK,SUB-MARINER/NAMOR MA,FAIRMONT, HANNAH,PERRIKUS,COLLINS, DEMITRIUS,PARKER, MAY,HERMES [GREEK GOD],SEDNA,MAJESTON ZELIA,ODIN [ASGARDIAN],KINCAID, DR. JANE FO,BALDER [ASGARDIAN],TOKKOTS,HERCULES [GREEK GOD],VOLSTAGG,ORIKAL,HESCAMAR/MARNOT [ASG,DESTROYER III,SLOTOTH,FANDRAL [ASGARDIAN]"
AHQLAU,"HOLDEN, DR. SAMUEL,REJECT/RAN-SAK [DEVI,IKARIS/IKE HARRIS [E,KARKAS [DEVIANT],MAKKARI/MIKE KHARY/I,SERSI/SYLVIA,DAMIAN, MARGO,GHAUR [DEVIANT],FORGOTTEN ONE/GILGAM,CHATTERTON, DAVE,KHORYPHOS [ETERNAL],YRDISIS,CYBELE [ETERNAL],KINGO SUNEN [ETERNAL,THENA,DREAMING CELESTIAL/T,PHASTOS [ETERNAL],KRO [DEVIANT]"
AI-CHIA,"MCLEISH,WOLVERINE/LOGAN"
AL-KHALAD,"BREEGAN,TUVO,LANCER/SAMANTHA DUNB,DR. DOOM/VICTOR VON"
"ALEXANDER, CALEB","KNIGHT, MISTY,SPITFIRE/LADY JACQUE,PLANTMAN/SAM SMITHER,NAMORITA/NITA PRENTI,WALKER, SHERIFF CHAN,SERSI/SYLVIA,THING/BENJAMIN J. GR,MARRS(-PAYNE), PHOEB,IRON FIST/DANIEL RAN,RAYMOND, ANN,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,CAPTAIN AMERICA,VASHTI,ALEXANDER, CARRIE,SUB-MARINER/NAMOR MA,INVISIBLE WOMAN/SUE ,DR. STRANGE/STEPHEN ,WALKER, TESS,MASTER MAN/WILHELM L,SLUJ,MARRS, DESMOND,HUMAN TORCH ANDROID/,HUMAN TORCH/JOHNNY S,SHANNA/SHANNA O'HARA,HEADHUNTER/,SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V"
"ALVAREZ, CARLY","STORM/ORORO MUNROE S,GAMBIT/REMY LEBEAU ,CANNONBALL II/SAM GU,PYRO/ALLERDYCE JOHNN,ICEMAN/ROBERT BOBBY ,BEAST/HENRY &HANK& P,JOSEPH,WOLVERINE/LOGAN ,MARVEL GIRL/JEAN GRE,OZYMANDIAS,DRAKE, WILLIAM ROBER"
AMAZO-MAXI-WOMAN/,"DARLEGUNG, GEN.,SWORDSMAN IV/,MANT/ERNEST"
AMENHOTEP,"HERCULES [GREEK GOD],BLACK KNIGHT IV/PROF,GRIM REAPER/ERIC WIL,CRYSTAL [INHUMAN],LLOIGOROTH,BLACK KNIGHT V/DANE ,ZEMO/BARON HEINRICH ,STAR-STALKER"
AMERICAN EAGLE II/JA,"CAPTAIN AMERICA,DR. SPECTRUM/JOSEPH ,BLACK PANTHER/T'CHAL,GOLDEN ARCHER II/WYA,SPIDER-MAN/PETER PAR,THOR/DR. DONALD BLAK,ARAGORN,BLACK KNIGHT V/DANE ,CAPTAIN HAWK,NIGHTHAWK/KYLE RICHM,SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M,WHIZZER II/STANLEY S,LADY LARK/LINDA LEWI,HAWK"
AMIKO,"ELSIE DEE,KAISHEK, GOM,YUKIO,YASHIDA, MARIKO,KAISHEK, HAAN,ELEKTRA/ELEKTRA NATC,CYCLOPS/SCOTT SUMMER,ZARAN/MAXIMILLIAN ZA,KAISHEK, KIA,WOLVERINE/LOGAN ,ALBERT,NIGHTCRAWLER/KURT WA,SILVER SAMURAI/KENYU,OGUN,TUPA"
AMPHARON,"LORELEI II/MELODI [A,VALKYRIE IV,HELLCAT/PATSY WALKER,ATTUMA,NIGHTHAWK II/KYLE RI,NAMORITA/NITA PRENTI,DR. STRANGE/STEPHEN ,PLUTO [OLYMPIAN],PAPA HAGG,HULK/DR. ROBERT BRUC,SILVER SURFER/NORRIN,ANDROMEDA/ANDROMEDA"
ANANASTASIA/ANNA,"BLOODVESSEL, BUSTA,DEADPOOL/JACK/WADE W"
