hero,connection
"ABBOTT, JACK","OWL/LELAND OWLSLEY,COPPERHEAD IV/,DAREDEVIL/MATT MURDO,GLADIATOR/MELVIN POT,KINGPIN/WILSON FISK,STILT-MAN/WILBUR DAY"
ACBA,"QUASAR III/WENDELL V,TRUTH,UATU,DR. DRUID/ANTHONY LU,ETERNITY/ADAM QADMON,DEATH,MAELSTROM/MALCOLM ST,GAEA,SERSI/SYLVIA,HYPERION,DEATHURGE,NOVA II/FRANKIE RAYE,KRONOS,WHIZZER II/STANLEY S,ARCANNA/ARCANNA JONE,MOONDRAGON/HEATHER D,INFINITY II,ANALYZER"
"ACHEBE, REVEREND DOC","COPYCAT/VANESSA,DEADPOOL/JACK/WADE W,JARVIS, EDWIN ,WASP/JANET VAN DYNE ,OKOYE,IRON MAN/TONY STARK ,CORSAIR,RAMONDA,SCARLET WITCH/WANDA ,ABSORBING MAN/CARL C,WHITE WOLF/HUNTER,TORK, SGT.,ROSS, EVERETT KENNET,MALICE V/NAKIA,TRIATHLON/DELROY GAR,PREYY,MEPHISTO,MCPHAIL, NATALIE,W'KABI,RICHMOND, DELROY,CAPTAIN AMERICA,KILLMONGER, ERIC/N'J,BLACK PANTHER/T'CHAL,GAPON, DZHOKHAR,VISION ,ANT-MAN/DR. HENRY J.,DIRTY WOLFF,KLAW/ULYSSES KLAW,TAKU,ADAMS, NICOLE NIKKI,ZURI,LYNNE, MONICA,RAKIM, SEN. KAMAL,CONSTRICTOR/FRANK PA,T'CHAKA,SHE-HULK/JENNIFER WA"
"ADAM 3,031","FROST, CARMILLA,SKAR,ATALON,KILLRAVEN/JONATHAN R,OLD SKULL,SACRIFICER,M'SHULLA,HAWK,GROK,VOLCANA ASH,EVE 3,031,MELONIE"
ADAM X,"SABRETOOTH/VICTOR CR,ERIC THE RED [SHI'AR,JELLA, PRIVATE,CYCLOPS/SCOTT SUMMER,SUMMERS, DEBORAH,JONES, RICHARD MILHO,PSYLOCKE/ELISABETH B,CAPTAIN MARVEL III/G,MR. SINISTER/NATHAN ,HELKOOKY,MENTOR/ALARS [ETERNA,MARVEL GIRL/JEAN GRE,STARFOX/EROS,BOUDREAUX, BELLA DON,HAV-AK"
ADORA,"DR. SUN,CAPTAIN MARVEL II/MO,NEBULA,DUGAN, TIMOTHY ALOYI,DORREK [SKRULL],ARBOGAST, BAMBI,BLACK KNIGHT V/DANE ,THING/BENJAMIN J. GR,JARVIS, EDWIN ,CRIMEBUSTER/FRANK MO,NOVA/RICHARD RIDER,EMPRESS R'KILL [SKRU,WASP/JANET VAN DYNE ,HERCULES [GREEK GOD],RIDER, GLORIA,TORPEDO III/BROCK JO,CLARK, JOHN,COMET/HARRIS MOORE,LEVAN,STARFOX/EROS,MR. FANTASTIC/REED R,CAPTAIN AMERICA,SPIDER-MAN/PETER PAR,UATU,NOVA-PRIME,FIRELORD/PYREUS KRIL,KRAA,ZEDRAO, GENERAL,INVISIBLE WOMAN/SUE ,MONOCLE,RICHARDS, FRANKLIN B,RIDER, CHARLES,JAMESON, COL. JOHN ,PROTECTOR III/,DIAMONDHEAD/DYKER,NOVA II/FRANKIE RAYE,GUNTHAR II,HARKNESS, AGATHA,HUMAN TORCH/JOHNNY S,MASTERS, ALICIA REIS,SKUNGE,POWERHOUSE/RIEG DAVA,SPHINX,CLARK, SARAH"
AFTERLIFE,WONG
"AGEE, REBECCA","DEATHBIRD [SHI'AR],AGEE, DR. AUBREY,MURPHY, MELISSA,MILLER, CHRIS,BISHOP /,CYCLOPS/SCOTT SUMMER,ANGEL/WARREN KENNETH,MOON WOLF/"
AIREO/AEOLUS [INHUMA,"JUSTICE II/VANCE AST,GORGON [INHUMAN],CHORD, ANDREW,FIRESTAR/ANGELICA JO,FIREBRAND II/BROXTEL,NAMORITA/NITA PRENTI,THING/BENJAMIN J. GR,TAI II,FIREWALL/THEARY/MIN ,TIMBERIUS,QUICKSILVER/PIETRO M,YAMIR, SASHA,FALCONA [INHUMAN],PUNISHER II/FRANK CA,JETSTREAM/HAROUD IBN,MAXIMUS [INHUMAN],KARNAK [INHUMAN],NIXON, RICHARD,WHITE QUEEN/EMMA FRO,GYRICH, HENRY PETER,BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,NIGHT THRASHER/DUANE,SILHOUETTE,RICHARDS, FRANKLIN B,BENGAL/,TAROT/MARIE-ANGE COL,CATSEYE/SHARON SMITH,SPHINX II,HO, LI MUAN,LEONUS/LIONUS [INHUM,HUMAN TORCH/JOHNNY S,STANDISH, GEN.,MASTERS, ALICIA REIS,BEEF/,SILVER SURFER/NORRIN,CRYSTAL [INHUMAN],ARIDES,STALLIOR,COOPER, DR. VALERIE,WATER WIZARD/PETE,NOVA/RICHARD RIDER,CENTARIUS,TERRAFORMER/SAM,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,SPEEDBALL/ROBBIE BAL,IRIDIA [INHUMAN],ROULETTE II/JENNY ST,JANES, FATHER MICHAE,SHAUNEGHANN, MICHAEL,BARRENOS, OMAR,TRITON,BALDWIN, MADELYNE MA,PHAE-DOR,LOCKJAW [INHUMAN],BANNER, BETTY ROSS T,SPROCKET"
AJAK/TECUMOTZIN [ETE,"KA-ZAR/KEVIN PLUNDER,SPIDER-WOMAN/JESSICA,CAPTAIN MARVEL II/MO,ARISHEM [CELESTIAL],BLACK KNIGHT V/DANE ,MAKKARI/MIKE KHARY/I,THING/BENJAMIN J. GR,HAVOK/ALEX SUMMERS ,HARGEN,SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M,TORPEDO III/BROCK JO,ZARIN,GAMMENON [CELESTIAL],THENA,DEVIL-SLAYER/ERIC SI,WEREWOLF BY NIGHT/JA,IRON MAN IV/JAMES R.,MOONSTALKER/KIANA,URSA MAJOR/MIKHAIL U,ANT-MAN II/SCOTT HAR,NORTHSTAR/JEAN-PAUL ,BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,BROTHER TODE,INVISIBLE WOMAN/SUE ,NORRISS, SISTER BARB,AGINAR,HERA/AUGUSTINE JONES,NIGHTCRAWLER/KURT WA,3-D MAN/CHARLES CHAN,LOBO,WONDER MAN/SIMON WIL,SHANNA/SHANNA O'HARA,ARES [GREEK GOD],SIF,DRUMM, JERICHO,JEMIAH,HARVEST/CHI LO,HELLSTORM/DAIMON HEL,CRYSTAL [INHUMAN],MERCURY,KARKAS [DEVIANT],CYCLOPS/SCOTT SUMMER,WASP/JANET VAN DYNE ,DEATHURGE,FORGOTTEN ONE/GILGAM,REDWING,ZEUS,CAPTAIN BRITAIN/BRIA,STORM/ORORO MUNROE S,DAMIAN, DR. DANIEL,DEFENSOR,DARKSTAR/LAYNIA SERG,THOR/DR. DONALD BLAK,BROTHER VOODOO/DANIE,GENII/JASON KIMBALL,CAGE, LUKE/CARL LUCA,COLOSSUS II/PETER RA,VOLSTAGG,HELLCAT/PATSY WALKER,SPRITE,TUTINAX,VALINOR,GRANDMASTER/EN DWI G,BEAST/HENRY &HANK& P,HAWK,PEREGRINE, LE/FRANCK,FANDRAL [ASGARDIAN],SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V,IGOR,TIGRA/GREER NELSON,GORGON [INHUMAN],SHADOWCAT/KATHERINE ,IKARIS/IKE HARRIS [E,WHIZZER/ROBERT L. FR,DAYDREAMER/CATHERINE,ARABIAN KNIGHT/ABDUL,SERSI/SYLVIA,AURORA/JEANNE-MARIE ,RED GHOST/IVAN KRAGO,SUNFIRE/SHIRO YOSHID,HERCULES [GREEK GOD],VALKIN,IRON FIST/DANIEL RAN,STARFOX/EROS,KARNAK [INHUMAN],SPIDER-MAN/PETER PAR,DR. DRUID/ANTHONY LU,VISION ,COLLECTIVE MAN,SASQUATCH/WALTER LAN,MAELSTROM/MALCOLM ST,ANGEL/WARREN KENNETH,BROOP,PEATOR,ESON [CELESTIAL],MOON KNIGHT/MARC SPE,ROM, SPACEKNIGHT,BLITZKRIEG/,SNOWBIRD/NARYA/ANNE ,HUMAN TORCH/JOHNNY S,PROFESSOR X/CHARLES ,STINGRAY/DR. WALTER ,BLACK WIDOW/NATASHA ,ERISHKIGEL II/HOLLY ,TEFRAL,JOCASTA,ZURAS,HIGHNOTE/RAOUL HERNA,ODIN [ASGARDIAN],TOMAZOOMA,NIGHTHAWK/KYLE RICHM,IRON MAN/TONY STARK ,RED WOLF III/WILL TA,MOONDRAGON/HEATHER D,SHROUD/MAXIMILLIAN Q,GYPSY MOTH,HULK/DR. ROBERT BRUC,GUARDIAN/JAMES MACDO,MR. FANTASTIC/REED R,MACHINE MAN/X-51,CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,MIKHLO,SHAMROCK/MOLLY FITZG,SUB-MARINER/NAMOR MA,ICEMAN/ROBERT BOBBY ,DR. STRANGE/STEPHEN ,JACK OF HEARTS/JACK ,FALCON/SAM WILSON,DAMIAN, MARGO,MOCKINGBIRD/DR. BARB,TEXAS TWISTER/DREW D,SABRA/RUTH BAT-SERAP,CRIMSON DYNAMO V/DIM,DAREDEVIL/MATT MURDO,DRUIG,VIRA,GARGOYLE II/ISAAC CH,LOCKJAW [INHUMAN],KRO [DEVIANT]"
