hero,connection
24-HOUR MAN/EMMANUEL,"FROST, CARMILLA,KILLRAVEN/JONATHAN R,M'SHULLA"
ABOMINATION | MUTANT,"DRAX | MUTANT X-VERS,DR. STRANGE | MUTANT,POLARIS | MUTANT X-V,HULK | MUTANT X-VERS,MAN-SPIDER | MUTANT ,NAMORITA | MUTANT X-,ABSORBING MAN | MUTA,DEVIL DINOSAUR | MUT,IRON FIST | MUTANT X,BROTHER VOODOO | MUT,RAVEN | MUTANT X-VER,SUMMERS, SCOTT III |,ICE-MAN | MUTANT X-V,DAREDEVIL | MUTANT X,VOLSTAGG | MUTANT X-,FIN FANG FOOM | MUTA,WOLVERINE | MUTANT X,DRACULA | MUTANT X-V,STINGRAY | MUTANT X-,THOR | MUTANT X-VERS,SUB-MARINER | MUTANT,HOGUN | MUTANT X-VER,VALKYRIE II | MUTANT,MOON KNIGHT | MUTANT"
ABRAXAS,"UATU,FROST, CARMILLA,MINT JULEP,RATTACK,ETERNITY/ADAM QADMON,HUMAN TORCH/JOHNNY S,M'SHULLA,RICHARDS, FRANKLIN B,THING/BENJAMIN J. GR,GROK,HAWK,MR. FANTASTIC/REED R"
"ADAMS, CINDY","AMERICAN EAGLE III/J,TIGRA/GREER NELSON,SHADOWCAT/KATHERINE ,BLACK KNIGHT V/DANE ,WOLVERINE/LOGAN ,SEEKER/TARM,JONES, RICHARD MILHO,HERCULES [GREEK GOD],UNSEEN/UNAM,CAPTAIN BRITAIN/BRIA,ADAMS, MARTHA,LOCKLIN, GENERAL MER,STARFOX/EROS,BEYONDER,IRON MAN IV/JAMES R.,URSA MAJOR/MIKHAIL U,CAPTAIN AMERICA,GYRICH, HENRY PETER,VANGUARD/NICOLAI KRY,VISION ,DARKSTAR/LAYNIA SERG,SUB-MARINER/NAMOR MA,STARSHINE II/BRANDY ,ICEMAN/ROBERT BOBBY ,FORGE,ADAMS, GEORGE,SCANNER/SKERA,MOCKINGBIRD/DR. BARB,NORRISS, SISTER BARB,COLOSSUS II/PETER RA,ROM, SPACEKNIGHT,ROGUE /,WONDER MAN/SIMON WIL,BEAST/HENRY &HANK& P,GARGOYLE II/ISAAC CH,PROFESSOR X/CHARLES ,HAWK,PEREGRINE, LE/FRANCK,TRAPPER/VOLA"
"ADAMSON, JASON","KABALLA,GOLEM III,LOGAN, WAYNE,ADAMSON, REBECCA"
ADVERSARY,"SABRETOOTH/VICTOR CR,SHADOWCAT/KATHERINE ,PYRO/ALLERDYCE JOHNN,BLOB/FRED J. DUKES,SPIRAL,WOLVERINE/LOGAN ,HAVOK/ALEX SUMMERS ,COOPER, DR. VALERIE,MACTAGGERT, MOIRA KI,NAZE,STONEWALL/LOUIS HAMI,MORRELL, SABRINA,MR. SINISTER/NATHAN ,SUNSPOT/ROBERTO DACO,MALICE IV,CONAN, NEAL,ROMA,CRIMSON COMMANDO/FRA,STORM/ORORO MUNROE S,SCALPHUNTER,DAZZLER II/ALLISON B,AVALANCHE/DOMINIC PE,WILD CHILD/KYLE GIBN,MYSTIQUE/RAVEN DARKH,FORGE,DESTINY II/IRENE ADL,WETHERELL, MANOLI,SHARD,PSYLOCKE/ELISABETH B,COLOSSUS II/PETER RA,NIGHTCRAWLER/KURT WA,LONGSHOT,LOCKHEED,ROGUE /,POLARIS/LORNA DANE,SUPER SABRE/MARTIN F,SUMMERS, MADELYNE MA"
AEGIS/TREY ROLLINS,"MUTO, JUNZO,ROLLINS, MRS.,JUSTICE II/VANCE AST,SKIN/ANGELO ESPINOSA,TURBO II (A)/MICHIKO,CLOAK/TYRONE JOHNSON,BERNIE,BOOMERANG/FRED MYERS,STRONGHOLD/,STEEL SERPENT,NAMORITA/NITA PRENTI,BOLT II/CHRIS BRADLE,NOVA/RICHARD RIDER,COUNTERWEIGHT II/KAT,ZEUS,ROSEN, WALTER,FIRESTRIKE/DALTON BE,IRON FIST/DANIEL RAN,BLACKWING/JOSEPH MAN,SUTTON, JOHN,CRUCIBLE/BYRON CALLE,BLIZZARD II/DONALD G,WARBOW/,SPEEDBALL/ROBBIE BAL,WHITE QUEEN/EMMA FRO,SYNCH/EVERETT THOMAS,SUB-MARINER/NAMOR MA,BANSHEE/SEAN CASSIDY,SILVERMANE/SILVIO MA,GENECIDE,JAYE-FIRESTONE, GING,COOPER, ROGER CAPS,REANIMATOR/,CHAMBER/JONOTHON STA,RIOT II/,ASHUR,HUMAN TORCH/JOHNNY S,TRAYNOR, HARLEY,JUBILEE/JUBILATION L,BIOHAZARD II/FLETCHE,HIROMITSU,FUNARO, DONNA,BARRACUDA/,SHE-HULK/JENNIFER WA"
"AGARN, CAPT.","PO,SLEEK,MOK"
AGED GENGHIS,"DORMAMMU,ANCIENT ONE,VON DOOM, CYNTHIA,ETERNITY/ADAM QADMON,INSHALLAH, KHALID,DR. DOOM/VICTOR VON ,DR. STRANGE/STEPHEN ,CLEA,BARON MORDO/KARL MOR,YEE, WAI CHEE,NIGHTMARE/EDVARD HAB,UMAR"
AIR-WALKER/GABRIEL L,"NOVA II/FRANKIE RAYE,TYRANT,CAPTAIN MARVEL III/G,GALACTUS/GALAN,FIRELORD/PYREUS KRIL,HUMAN TORCH/JOHNNY S,THOR/DR. DONALD BLAK,INVISIBLE WOMAN/SUE ,THING/BENJAMIN J. GR,MORG,MR. FANTASTIC/REED R,SILVER SURFER/NORRIN"
